comp_name,exchange,per_end_date,gross_profit,tot_revnu,comm_stock_net
Apple Inc.,NSDQ,30-09-11,43818,108249,13331
Apple Inc.,NSDQ,30-09-12,68662,156508,16422
Apple Inc.,NSDQ,30-09-13,64304,170910,19764
Apple Inc.,NSDQ,30-09-14,70537,182795,23313
Apple Inc.,NSDQ,30-09-15,93626,233715,27416
Apple Inc.,NSDQ,30-09-16,84263,215639,31251
Apple Inc.,NSDQ,30-09-17,88186,229234,35867
Apple Inc.,NSDQ,30-09-18,101839,265595,40201
Apple Inc.,NSDQ,31-03-11,10218,24667,12326
Apple Inc.,NSDQ,30-06-11,11922,28571,12715
Apple Inc.,NSDQ,30-09-11,11380,28270,13331
Apple Inc.,NSDQ,31-12-11,20703,46333,13961
Apple Inc.,NSDQ,31-03-12,18564,39186,14850
Apple Inc.,NSDQ,30-06-12,14994,35023,15573
Apple Inc.,NSDQ,30-09-12,14401,35966,16422
Apple Inc.,NSDQ,31-12-12,21060,54512,17167
Apple Inc.,NSDQ,31-03-13,16349,43603,17954
Apple Inc.,NSDQ,30-06-13,13024,35323,19024
Apple Inc.,NSDQ,30-09-13,13871,37472,19764
Apple Inc.,NSDQ,31-12-13,21846,57594,20559
Apple Inc.,NSDQ,31-03-14,17947,45646,21496
Apple Inc.,NSDQ,30-06-14,14735,37432,22139
Apple Inc.,NSDQ,30-09-14,16009,42123,23313
Apple Inc.,NSDQ,31-12-14,29741,74599,24187
Apple Inc.,NSDQ,31-03-15,23656,58010,25376
Apple Inc.,NSDQ,30-06-15,19681,49605,26327
Apple Inc.,NSDQ,30-09-15,20548,51501,27416
Apple Inc.,NSDQ,31-12-15,30423,75872,28253
Apple Inc.,NSDQ,31-03-16,19921,50557,29484
Apple Inc.,NSDQ,30-06-16,16106,42358,30106
Apple Inc.,NSDQ,30-09-16,17813,46852,31251
Apple Inc.,NSDQ,31-12-16,30176,78351,32144
Apple Inc.,NSDQ,31-03-17,20591,52896,33579
Apple Inc.,NSDQ,30-06-17,17488,45408,34445
Apple Inc.,NSDQ,30-09-17,19931,52579,35867
Apple Inc.,NSDQ,31-12-17,33912,88293,36447
Apple Inc.,NSDQ,31-03-18,23422,61137,38044
Apple Inc.,NSDQ,30-06-18,20421,53265,38624
